Cancer,<20,20-34,35-44,45-54,55-64,65-74,75-84,>84
Lung,<20,0.2,0.9,4.6,21.4,35.9,27.8,9.0
Breast,<20,2.0,8.5,17.9,24.7,27.4,14.6,4.9
Colon,<20,2.0,5.2,15.5,22.5,25.8,18.8,9.9
Prostate,<20,0.0,0.3,6.0,29.4,42.9,17.6,3.8
Pancreas,<20,0.7,2.0,7.0,20.8,32.3,25.5,11.5
Melanoma,<20,4.1,7.0,11.7,21.5,27.4,19.7,8.4
Bladder,<20,0.4,1.2,4.6,16.9,32.4,30.2,14.1
Kidney,<20,1.7,5.9,13.8,25.9,30.0,16.8,5.1
Leukemia,<20,4.3,4.6,8.3,17.6,26.1,21.6,9.9
Brain,<20,8.4,8.0,11.4,20.0,22.4,14.0,4.8
Liver,<20,0.7,1.7,6.9,28.4,36.2,18.7,6.6
Thyroid,<20,16.3,18.3,19.9,20.0,15.9,6.1,1.4
Ovary,<20,4.8,7.6,15.8,24.1,24.0,15.6,6.5
Stomach,<20,1.7,5.0,11.0,22.2,29.3,21.5,9.2
Cervix,<20,13.1,24.8,21.8,19.1,12.6,6.2,2.3
Testis,<20,51.2,24.9,10.3,5.3,2.2,0.6,0.2
