AD	AO	BL	CO	GM12878	h1	HC	IMR90	LG1	LI	LV	mes	msc	npc	OV	PA2	PO1	RV	SB2	SX1	tro	gene_a	gene_b	channel
																					ATR	BAP1	DDR
	0.2568				0.1151						0.1212									0.1974	ATR	MLH1	DDR
									0.3893												RAD51C	RAD51D	DDR
	0.2889										0.1162	0.1389									BAP1	MLH1	DDR
1.2449	1.9335		0.9289	5.8678	2.6684	1.2438	3.1843	0.9328	1.0802	0.4511	3.3975	2.1926	0.5041			0.3258	1.0031		1.052	0.9201	MSH2	MSH6	DDR
	0.2533						0.3348		0.2062		0.1184							0.3667		0.1905	CDKN1B	CDK4	CellCycle
				0.5894			0.4318										0.2451				CDKN1B	MDM2	CellCycle
4.0366	7.0342	3.4615	4.6749	16.713	14.8849	4.2672	36.5814	0.7324	13.661	13.6193	16.2488	19.9063	12.2788	2.5016	0.6767	1.7319	4.0282	3.8617	8.2849	5.5984	CDKN2A	CDKN2B	CellCycle
							0.6465										0.2551				CDK4	MDM2	CellCycle
				0.2076	0.1029							0.125					0.2383				PIK3CA	RAF1	PI3K_Growth
	0.5323		0.3105	0.8482	0.2259		0.6722				0.351	0.137	0.2491			0.3391	0.2499		0.2475	0.1835	PIK3CA	MAP3K13	PI3K_Growth
	0.7493						0.459		0.2097	0.1902	0.1145							0.7073			PIK3R1	MAP3K1	PI3K_Growth
	0.2619		0.2981						0.2013	1.3438	0.1105	0.1208								0.1716	PTEN	FGFR2	PI3K_Growth
0.3563	0.628																				AKT2	MAP2K2	PI3K_Growth
																					AKT2	STK11	PI3K_Growth
							0.1769														AKT3	MTOR	PI3K_Growth
0.2851									0.191												AKT3	NRAS	PI3K_Growth
																					MTOR	NRAS	PI3K_Growth
		0.2801		0.6926					0.167							0.2933	0.218				KRAS	ERBB3	PI3K_Growth
									0.2002		0.1114										BRAF	EGFR	PI3K_Growth
				0.2214	0.2258		0.3394				0.2398										BRAF	MET	PI3K_Growth
				0.2047		0.3009				0.3924	0.1134										RAF1	MAP3K13	PI3K_Growth
							0.25		0.1831								0.2323				MAP2K1	IGF1R	PI3K_Growth
							0.164												0.2215		MAP2K2	STK11	PI3K_Growth
		0.2908		0.1665	0.0957				0.176	0.5048		0.0989			0.5801				0.218		ERBB2	NF1	PI3K_Growth
											0.118										EGFR	MET	PI3K_Growth
							0.1541														ESR2	FOXA1	Endocrine
	0.2625	0.3249	0.3208	1.2099		0.6428	0.6689	0.3533	0.2094			0.1317		0.3816			0.2413		0.2441		HLA-A	HLA-B	Immune
	0.2656	0.3386		1.307			0.3718		0.4387	1.0385	0.2535	0.1403	0.5076		0.7151		0.2541		0.2721		HLA-A	HLA-C	Immune
	1.0824	1.0168	0.675	2.9819	0.7594		7.4638		1.9742	3.3948	1.7722	2.9603		0.7747	0.3546	0.3705	2.5231		0.5235	1.7808	HLA-B	HLA-C	Immune
3.0344	7.886	2.8634	1.0993	18.7228	6.3569	3.2666	13.6669	1.9591	8.0591	8.3607	10.2761	11.9407	2.9489	1.3334	1.474	0.9234	4.6774	1.645	1.6075	5.4485	JAK2	CD274	Immune
2.9042	5.7384	2.742	2.3705	11.0204	5.8622	2.3453	12.8769	1.2614	7.8817	6.1238	8.3466	10.3085	3.0137	0.9521	2.2765	2.0667	3.0448	0.6287	0.522	5.8277	JAK2	PDCD1LG2	Immune
	0.5043			0.9188		0.3191	0.1808		0.2239	1.4167	0.3679	0.1308					0.5269		0.3002	0.1924	STAT1	CTLA4	Immune
4.7241	22.3957	6.5289	5.3935	45.2491	22.2865	4.9175	39.7144	4.5403	21.9355	20.316	24.3317	30.2077	5.4066	3.7938	5.0677	4.9487	10.3225	3.0816	6.7347	12.1178	CD274	PDCD1LG2	Immune
												0.1281									CDH1	AXIN1	TissueArchitecture
		0.6012	0.2879	0.1977	0.1829	0.287	0.349		0.1896	0.1474								0.3365			CDH2	SMAD2	TissueArchitecture
	0.1977						0.6986		0.3403	0.1247			0.1982				0.2188	0.3194		0.1572	CDH2	SMAD4	TissueArchitecture
0.8229	0.2284	0.2872	0.2715	0.6063	0.1858	0.5466	0.6568		0.1865					0.3396	0.2817			0.3312		0.4812	CTNNB1	TGFBR2	TissueArchitecture
	0.2032		0.2627	0.3655	0.2392		1.5962			0.6391	0.2702	0.579		0.3178			0.6519			0.1507	SMAD2	SMAD4	TissueArchitecture
0.3015	0.2669				0.1148		0.1331													0.1668	TGFBR1	NOTCH1	TissueArchitecture
					0.1108							0.1278									NOTCH4	GJA1	TissueArchitecture
					0.1465					0.6503											KMT2B	SMARCA4	ChromatinRemodel
							0.2996		0.2038		0.1156										ARID1B	H3C7	ChromatinRemodel
	0.6072		0.7315	0.4939			0.5878			0.9083			0.2929				0.3012				KDM6A	BCOR	ChromatinRemodel
									0.2164	0.4182			0.2473			0.3269					DNMT3A	IDH1	DNAMethylation
