,cluster
A1BG,179
A1CF,155
A2M,171
A2ML1,26
A3GALT2,68
A4GALT,98
A4GNT,36
AACS,175
AADAC,46
AADACL2,46
AADACL3,118
AADACL4,118
AADAT,29
AAK1,183
AAMP,84
AARD,173
AARS1,101
AARS2,72
AARSD1,122
AASDH,186
AATK,78
ABAT,137
ABCA1,145
ABCA10,44
ABCA12,62
ABCA13,42
ABCA2,78
ABCA3,20
ABCA4,154
ABCA5,27
ABCA6,27
ABCA7,56
ABCA8,27
ABCA9,39
ABCB1,48
ABCB10,193
ABCB11,140
ABCB4,7
ABCB5,23
ABCB6,172
ABCB7,83
ABCB8,61
ABCB9,168
ABCC1,37
ABCC10,170
ABCC11,196
ABCC12,47
ABCC2,50
ABCC3,185
ABCC4,174
ABCC5,139
ABCC8,189
ABCC9,21
ABCD1,103
ABCD2,31
ABCD3,154
ABCD4,182
ABCF1,100
ABCF3,22
ABCG1,11
ABCG2,132
ABCG4,79
ABCG5,178
ABCG8,166
ABHD1,182
ABHD11,113
ABHD12,187
ABHD12B,178
ABHD13,3
ABHD14A,187
ABHD14B,171
ABHD15,186
ABHD16A,4
ABHD16B,172
ABHD17A,52
ABHD17B,31
ABHD17C,68
ABHD2,6
ABHD3,165
ABHD4,53
ABHD5,11
ABHD6,171
ABHD8,166
ABI1,104
ABI2,57
ABI3,68
ABI3BP,68
ABL1,116
ABL2,186
ABLIM1,29
ABLIM2,155
ABLIM3,124
ABR,77
ABRAXAS1,52
ABRAXAS2,199
ABTB1,55
ABTB2,67
ABTB3,63
ACAA1,66
ACAA2,156
ACACA,38
ACACB,155
ACAD10,191
ACAD11,35
ACAD8,79
ACAD9,72
ACADL,79
ACADM,164
ACADS,178
ACADSB,3
ACADVL,64
ACAN,175
ACAP1,164
ACAP2,109
ACAP3,75
ACAT1,51
ACAT2,38
ACBD3,62
ACBD4,180
ACBD5,103
ACBD7,139
ACCS,51
ACCSL,125
ACE,142
ACE2,199
ACER1,66
ACER2,20
ACER3,196
ACHE,166
ACKR2,50
ACKR3,168
ACKR4,33
ACO1,48
ACO2,111
ACOT11,175
ACOT12,14
ACOT2,41
ACOT4,65
ACOT6,29
ACOT7,89
ACOX1,103
ACOX2,196
ACOX3,174
ACOXL,133
ACP1,168
ACP2,46
ACP3,141
ACP4,36
ACP6,189
ACRV1,79
ACSBG1,17
ACSBG2,192
ACSF2,200
ACSF3,51
ACSL1,118
ACSL3,103
ACSL4,113
ACSL5,44
ACSL6,140
ACSM1,86
ACSM2A,94
ACSM2B,40
ACSM3,24
ACSM4,189
ACSM5,172
ACSM6,132
ACSS1,19
ACSS2,67
ACSS3,1
ACTA1,168
ACTA2,177
ACTB,105
ACTBL2,175
ACTC1,200
ACTG1,159
ACTG2,166
ACTL10,11
ACTL6A,85
ACTL6B,188
ACTL7A,125
ACTL7B,170
ACTL8,70
ACTL9,124
ACTN1,49
ACTN2,170
ACTN4,191
ACTR10,101
ACTR1A,162
ACTR1B,133
ACTR2,149
ACTR3,149
ACTR3B,57
ACTR3C,10
ACTR5,87
ACTR6,99
ACTR8,87
ACTRT1,19
ACTRT2,75
ACTRT3,68
ACVR1,89
ACVR1B,15
ACVR1C,65
ACVR2A,15
ACVR2B,65
ACVRL1,188
ACY1,53
ACY3,119
ACYP1,11
ACYP2,11
ADA,199
ADA2,65
ADAD1,15
ADAD2,17
ADAM10,108
ADAM11,124
ADAM12,199
ADAM15,68
ADAM17,28
ADAM18,155
ADAM19,174
ADAM2,38
ADAM20,46
ADAM21,54
ADAM22,54
ADAM23,26
ADAM28,48
ADAM29,98
ADAM30,153
ADAM32,38
ADAM33,191
ADAM7,5
ADAM8,78
ADAM9,30
ADAMDEC1,48
ADAMTS1,42
ADAMTS10,36
ADAMTS12,190
ADAMTS13,21
ADAMTS14,178
ADAMTS15,79
ADAMTS16,166
ADAMTS17,168
ADAMTS18,7
ADAMTS19,167
ADAMTS2,179
ADAMTS20,39
ADAMTS3,15
ADAMTS4,139
ADAMTS5,42
ADAMTS6,11
ADAMTS8,79
ADAMTS9,7
ADAMTSL1,62
ADAMTSL2,168
ADAMTSL3,55
ADAMTSL4,129
ADAMTSL5,17
ADAP1,182
ADAP2,123
ADAR,62
ADARB1,142
ADARB2,168
ADAT1,145
ADAT2,99
ADAT3,99
ADCK1,191
ADCK2,10
ADCK5,186
ADCY1,185
ADCY2,171
ADCY3,185
ADCY4,121
ADCY5,177
ADCY6,196
ADCY7,191
ADCY8,174
ADCY9,196
ADCYAP1,175
ADCYAP1R1,19
ADD1,199
ADD2,4
ADD3,199
ADGRA1,78
ADGRA2,55
ADGRA3,172
ADGRB1,166
ADGRB2,53
ADGRB3,140
ADGRD1,190
ADGRE1,32
ADGRE2,1
ADGRE3,36
ADGRE5,35
ADGRF1,66
ADGRF3,182
ADGRF4,1
ADGRF5,18
ADGRG1,132
ADGRG2,64
ADGRG3,132
ADGRG4,54
ADGRG5,122
ADGRG6,177
ADGRG7,127
ADGRL1,22
ADGRL2,30
ADGRL3,43
ADGRL4,15
ADGRV1,48
ADH1A,42
ADH1B,172
ADH4,189
ADH5,52
ADH6,144
ADH7,189
ADIPOQ,18
ADIPOR1,48
ADIPOR2,113
ADK,38
ADM,139
ADM2,63
ADNP,16
ADNP2,64
ADORA1,192
ADORA2A,165
ADORA2B,3
ADPRH,187
ADPRHL1,74
ADRA1A,61
ADRA1B,74
ADRA1D,55
ADRA2A,17
ADRA2B,133
ADRA2C,167
ADRB1,199
ADRB2,164
ADRB3,134
ADSL,111
ADSS1,61
ADSS2,111
ADTRP,32
AEBP1,18
AEBP2,89
AEN,172
AFAP1,68
AFAP1L1,66
AFAP1L2,193
AFF1,170
AFF2,113
AFF3,133
AFF4,115
AFG2A,101
AFG2B,100
AFG3L2,71
AFM,29
AFMID,74
AFP,189
AFTPH,148
