gene,channel,species,divergence_mya,has_ortholog,ortholog_type,target_gene,target_symbol,identity,source_identity
ANGPT1,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
ANGPT1,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
ANGPT1,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
ANGPT1,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000030364,ENSDARP00000043712,65.3021,67.2691
ANGPT1,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000003598,ENSXETP00000007762,81.1508,82.1285
ANGPT1,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010011001,ENSGALP00010014999,81.336,83.1325
ANGPT1,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000005283,ENSMODP00000006514,94.9799,94.9799
ANGPT1,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000022309,ENSMUSP00000022921,97.3896,97.3896
ANGPT1,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845010910,ENSCAFP00845015082,98.1928,98.1928
ANGPT1,Angiogenesis,homo_sapiens,0,True,self,ANGPT1,,100.0,0
ANGPT2,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
ANGPT2,Angiogenesis,drosophila_melanogaster,600,False,none,,,0,0
ANGPT2,Angiogenesis,caenorhabditis_elegans,600,False,none,,,0,0
ANGPT2,Angiogenesis,danio_rerio,450,True,ortholog_one2one,ENSDARG00000014946,ENSDARP00000140347,56.3525,55.5556
ANGPT2,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000035935,ENSXETP00000079950,75.9036,76.3636
ANGPT2,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010002288,ENSGALP00010003062,84.3813,84.0404
ANGPT2,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000012086,ENSMODP00000015140,90.9091,90.9091
ANGPT2,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000031465,ENSMUSP00000033846,85.2823,85.4545
ANGPT2,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845022531,ENSCAFP00845031217,92.3232,92.3232
ANGPT2,Angiogenesis,homo_sapiens,0,True,self,ANGPT2,,100.0,0
EPAS1,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
EPAS1,Angiogenesis,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0266411,FBpp0310749,16.5097,30.2299
EPAS1,Angiogenesis,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00001851,F38A6.3b.1,21.3592,17.7011
EPAS1,Angiogenesis,danio_rerio,450,True,ortholog_one2many,ENSDARG00000057671,ENSDARP00000074832,58.3933,55.977
EPAS1,Angiogenesis,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000026167,ENSXETP00000068242,63.5011,63.7931
EPAS1,Angiogenesis,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010018414,ENSGALP00010026486,72.87,74.7126
EPAS1,Angiogenesis,monodelphis_domestica,180,True,ortholog_one2many,ENSMODG00000045158,ENSMODP00000041510,85.9848,26.092
EPAS1,Angiogenesis,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000024140,ENSMUSP00000024954,87.8719,88.2759
EPAS1,Angiogenesis,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845027702,ENSCAFP00845038343,79.0593,81.1494
EPAS1,Angiogenesis,homo_sapiens,0,True,self,EPAS1,,100.0,0
FLT1,Angiogenesis,saccharomyces_cerevisiae,1000,False,none,,,0,0
