gene,channel,species,divergence_mya,has_ortholog,ortholog_type,target_gene,target_symbol,identity,source_identity
CCND1,CellCycle,saccharomyces_cerevisiae,1000,True,ortholog_many2many,YGR109C,YGR109C,15.2632,19.661
CCND1,CellCycle,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0010315,FBpp0289622,23.6897,38.3051
CCND1,CellCycle,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00000864,F59H6.7.1,23.5772,9.83051
CCND1,CellCycle,danio_rerio,450,True,ortholog_one2one,ENSDARG00000101637,ENSDARP00000140550,76.6323,75.5932
CCND1,CellCycle,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000045695,ENSXETP00000103153,79.0378,77.9661
CCND1,CellCycle,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010025419,ENSGALP00010038337,77.2036,86.1017
CCND1,CellCycle,monodelphis_domestica,180,True,ortholog_one2many,ENSMODG00000038046,ENSMODP00000049050,86.5672,19.661
CCND1,CellCycle,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000070348,ENSMUSP00000091495,93.8983,93.8983
CCND1,CellCycle,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845015348,ENSCAFP00845021554,58.2463,94.5763
CCND1,CellCycle,homo_sapiens,0,True,self,CCND1,,100.0,0
CCNE1,CellCycle,saccharomyces_cerevisiae,1000,True,ortholog_many2many,YGR109C,YGR109C,17.1053,15.8537
CCNE1,CellCycle,drosophila_melanogaster,600,True,ortholog_many2many,FBgn0010382,FBpp0294012,24.4382,42.439
CCNE1,CellCycle,caenorhabditis_elegans,600,True,ortholog_many2many,WBGene00000866,Y43E12A.1.1,23.6593,18.2927
CCNE1,CellCycle,danio_rerio,450,True,ortholog_one2one,ENSDARG00000098622,ENSDARP00000141259,58.0488,58.0488
CCNE1,CellCycle,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000012929,ENSXETP00000028300,60.2941,60
CCNE1,CellCycle,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010024008,ENSGALP00010035531,67.8899,72.1951
CCNE1,CellCycle,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000012680,ENSMODP00000057168,35.5191,63.4146
CCNE1,CellCycle,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000002068,ENSMUSP00000103658,79.1667,78.7805
CCNE1,CellCycle,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845001129,ENSCAFP00845001515,85.3659,85.3659
CCNE1,CellCycle,homo_sapiens,0,True,self,CCNE1,,100.0,0
CDK4,CellCycle,saccharomyces_cerevisiae,1000,False,none,,,0,0
CDK4,CellCycle,drosophila_melanogaster,600,False,none,,,0,0
CDK4,CellCycle,caenorhabditis_elegans,600,False,none,,,0,0
CDK4,CellCycle,danio_rerio,450,True,ortholog_one2one,ENSDARG00000087937,ENSDARP00000087219,71.3805,69.967
CDK4,CellCycle,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000035239,ENSXETP00000063005,71.1599,74.9175
CDK4,CellCycle,gallus_gallus,300,False,none,,,0,0
CDK4,CellCycle,monodelphis_domestica,180,False,none,,,0,0
CDK4,CellCycle,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000006728,ENSMUSP00000006911,94.7195,94.7195
CDK4,CellCycle,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845009098,ENSCAFP00845012474,87.6238,58.4158
CDK4,CellCycle,homo_sapiens,0,True,self,CDK4,,100.0,0
CDK6,CellCycle,saccharomyces_cerevisiae,1000,False,none,,,0,0
CDK6,CellCycle,drosophila_melanogaster,600,False,none,,,0,0
CDK6,CellCycle,caenorhabditis_elegans,600,False,none,,,0,0
CDK6,CellCycle,danio_rerio,450,True,ortholog_one2one,ENSDARG00000070228,ENSDARP00000126132,79.6296,79.1411
CDK6,CellCycle,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000018529,ENSXETP00000040108,84.6847,86.5031
CDK6,CellCycle,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010005004,ENSGALP00010006583,91.1043,91.1043
CDK6,CellCycle,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000010772,ENSMODP00000048851,70.7692,84.6626
CDK6,CellCycle,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000040274,ENSMUSP00000126024,96.319,96.319
CDK6,CellCycle,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845013226,ENSCAFP00845018501,98.1595,98.1595
CDK6,CellCycle,homo_sapiens,0,True,self,CDK6,,100.0,0
CDKN1A,CellCycle,saccharomyces_cerevisiae,1000,False,none,,,0,0
CDKN1A,CellCycle,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0037611,FBpp0307997,24.026,30.0813
CDKN1A,CellCycle,caenorhabditis_elegans,600,False,none,,,0,0
CDKN1A,CellCycle,danio_rerio,450,True,ortholog_one2one,ENSDARG00000076554,ENSDARP00000114199,31.1688,29.2683
CDKN1A,CellCycle,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000024887,ENSXETP00000098441,29.5597,28.6585
CDKN1A,CellCycle,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010025613,ENSGALP00010038658,27.6995,35.9756
CDKN1A,CellCycle,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000013527,ENSMODP00000016922,65.8537,65.8537
CDKN1A,CellCycle,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000023067,ENSMUSP00000156559,79.2453,76.8293
