gene,saccharomyces_cerevisiae (1000Mya),drosophila_melanogaster (600Mya),caenorhabditis_elegans (600Mya),danio_rerio (450Mya),xenopus_tropicalis (350Mya),gallus_gallus (300Mya),monodelphis_domestica (180Mya),mus_musculus (90Mya),canis_lupus_familiaris (85Mya),homo_sapiens (0Mya)
RAD51,57%,66%,50%,90%,92%,96%,96%,99%,99%,100%
RAD51B,-,-,-,53%,-,62%,70%,85%,90%,100%
RAD51C,-,30%,-,59%,62%,69%,56%,86%,91%,100%
RAD51D,-,-,25%,55%,57%,54%,77%,83%,70%,100%
XRCC2,-,-,-,45%,62%,69%,79%,78%,83%,100%
XRCC3,19%,31%,-,52%,56%,55%,63%,73%,75%,100%
FANCA,-,-,-,33%,41%,47%,57%,67%,70%,100%
FANCB,-,-,-,22%,34%,43%,55%,49%,73%,100%
FANCC,-,-,-,29%,40%,49%,55%,68%,71%,100%
FANCE,-,-,-,31%,31%,37%,50%,65%,66%,100%
FANCF,-,-,-,28%,26%,35%,40%,50%,36%,100%
FANCG,-,-,-,28%,26%,35%,50%,72%,62%,100%
FANCL,-,24%,-,58%,63%,58%,83%,79%,69%,100%
FANCM,28%,26%,-,65%,41%,43%,-,65%,79%,100%
FANCD2,-,23%,18%,53%,58%,54%,73%,75%,86%,100%
FANCI,-,20%,17%,60%,66%,66%,79%,80%,89%,100%
ERCC4,27%,39%,29%,64%,73%,78%,86%,86%,92%,100%
PALB2,-,-,-,23%,24%,31%,48%,63%,71%,100%
BRIP1,-,-,27%,49%,52%,55%,62%,74%,84%,100%
SLX4,-,-,20%,42%,32%,34%,44%,60%,64%,100%
BRCA1,-,-,25%,-,26%,30%,47%,58%,74%,100%
BRCA2,-,-,-,24%,31%,32%,46%,59%,-,100%
PARP1,-,43%,35%,71%,75%,75%,85%,93%,94%,100%
PARP2,-,-,27%,53%,45%,-,58%,87%,87%,100%
CDK4,-,-,-,71%,71%,-,-,95%,88%,100%
CDK6,-,-,-,80%,85%,91%,71%,96%,98%,100%
ESR1,-,25%,-,49%,71%,71%,87%,89%,90%,100%
