channel,gene,Yeast (1000Mya),Fly (600Mya),Worm (600Mya),Zebrafish (450Mya),Frog (350Mya),Chicken (300Mya),Opossum (180Mya),Mouse (90Mya),Dog (85Mya),Human (0Mya)
CellCycle,CCND1,15%,24%,24%,77%,79%,77%,87%,94%,58%,100%
CellCycle,CCNE1,17%,24%,24%,58%,60%,68%,36%,79%,85%,100%
CellCycle,CDK4,-,-,-,71%,71%,-,-,95%,88%,100%
CellCycle,CDK6,-,-,-,80%,85%,91%,71%,96%,98%,100%
CellCycle,CDKN1A,-,24%,-,31%,30%,28%,66%,79%,28%,100%
CellCycle,CDKN1B,-,-,-,42%,-,54%,71%,87%,93%,100%
CellCycle,CDKN2A,-,-,-,-,50%,56%,-,58%,-,100%
CellCycle,CDKN2B,-,-,-,-,-,-,63%,87%,64%,100%
CellCycle,MDM2,-,-,-,47%,35%,69%,76%,82%,65%,100%
CellCycle,MDM4,-,-,-,49%,47%,54%,77%,84%,93%,100%
CellCycle,MYC,-,-,-,61%,59%,69%,77%,90%,92%,100%
CellCycle,MYCN,-,-,-,45%,58%,68%,-,85%,90%,100%
CellCycle,RB1,-,21%,17%,55%,61%,69%,82%,91%,92%,100%
CellCycle,TP53,-,15%,-,51%,52%,59%,-,78%,83%,100%
ChromatinRemodel,ANKRD11,-,-,-,49%,57%,67%,72%,79%,80%,100%
ChromatinRemodel,ARID1A,-,24%,25%,62%,90%,85%,92%,96%,98%,100%
ChromatinRemodel,ARID1B,-,24%,25%,57%,71%,85%,87%,93%,91%,100%
ChromatinRemodel,ARID2,-,26%,27%,62%,76%,83%,90%,92%,95%,100%
ChromatinRemodel,BCOR,-,14%,-,38%,54%,70%,77%,89%,93%,100%
ChromatinRemodel,CREBBP,-,32%,44%,68%,77%,88%,90%,96%,95%,100%
ChromatinRemodel,EP300,-,32%,44%,57%,73%,85%,83%,94%,96%,100%
ChromatinRemodel,H3C7,-,99%,97%,99%,-,99%,-,-,-,100%
ChromatinRemodel,KDM6A,25%,47%,34%,78%,88%,93%,95%,97%,99%,100%
ChromatinRemodel,KMT2A,-,22%,23%,-,64%,81%,87%,91%,95%,100%
ChromatinRemodel,KMT2B,9%,21%,22%,-,-,-,99%,90%,92%,100%
ChromatinRemodel,KMT2C,-,29%,29%,52%,60%,73%,98%,85%,-,100%
ChromatinRemodel,KMT2D,-,26%,26%,45%,-,59%,-,88%,92%,100%
ChromatinRemodel,NSD1,-,22%,28%,41%,40%,46%,69%,84%,91%,100%
ChromatinRemodel,SETD2,-,24%,27%,-,45%,64%,73%,86%,92%,100%
ChromatinRemodel,SMARCA4,-,-,-,89%,90%,97%,99%,99%,100%,100%
DDR,ATM,-,-,-,54%,65%,69%,88%,84%,90%,100%
DDR,ATR,-,-,-,73%,72%,77%,-,27%,-,100%
DDR,BAP1,-,8%,-,74%,79%,72%,99%,93%,90%,100%
DDR,BARD1,-,12%,11%,33%,47%,49%,59%,71%,83%,100%
DDR,BRCA1,-,-,25%,-,26%,30%,47%,58%,74%,100%
DDR,BRCA2,-,-,-,24%,31%,32%,46%,59%,-,100%
DDR,CHEK1,-,46%,-,64%,78%,80%,94%,93%,96%,100%
DDR,CHEK2,29%,36%,32%,52%,56%,69%,76%,83%,82%,100%
DDR,FANCA,-,-,-,33%,41%,47%,57%,67%,70%,100%
DDR,FANCC,-,-,-,29%,40%,49%,55%,68%,71%,100%
DDR,FANCD2,-,23%,18%,53%,58%,54%,73%,75%,86%,100%
DDR,MLH1,37%,51%,33%,71%,75%,79%,79%,88%,92%,100%
DDR,MSH2,40%,42%,31%,72%,76%,78%,83%,92%,96%,100%
DDR,MSH6,29%,39%,34%,60%,65%,69%,67%,86%,93%,100%
DDR,PALB2,-,-,-,23%,24%,31%,48%,63%,71%,100%
DDR,PMS2,34%,40%,35%,57%,63%,66%,71%,78%,75%,100%
DDR,POLD1,48%,60%,49%,70%,66%,76%,-,90%,-,100%
DDR,POLE,41%,56%,46%,80%,81%,84%,88%,91%,92%,100%
DDR,RAD51B,-,-,-,53%,-,62%,70%,85%,90%,100%
DDR,RAD51C,-,30%,-,59%,62%,69%,56%,86%,91%,100%
DDR,RAD51D,-,-,25%,55%,57%,54%,77%,83%,70%,100%
DNAMethylation,ATRX,-,39%,39%,58%,64%,75%,77%,84%,93%,100%
DNAMethylation,DAXX,-,10%,-,35%,31%,43%,65%,72%,90%,100%
DNAMethylation,DNMT3A,-,-,-,67%,76%,80%,97%,96%,98%,100%
DNAMethylation,DNMT3B,-,-,-,56%,-,57%,67%,83%,93%,100%
DNAMethylation,IDH1,62%,62%,71%,80%,88%,83%,89%,96%,97%,100%
DNAMethylation,IDH2,63%,-,68%,90%,85%,88%,92%,95%,76%,100%
DNAMethylation,TET1,-,-,-,29%,-,34%,41%,57%,80%,100%
DNAMethylation,TET2,-,-,-,39%,51%,63%,69%,62%,86%,100%
Endocrine,AR,-,53%,46%,72%,-,69%,74%,71%,90%,100%
Endocrine,ESR1,-,25%,-,49%,71%,71%,87%,89%,90%,100%
Endocrine,ESR2,-,25%,-,52%,67%,73%,82%,83%,89%,100%
Endocrine,FOXA1,-,-,-,69%,-,80%,89%,96%,92%,100%
Endocrine,GATA3,16%,14%,49%,81%,71%,92%,97%,97%,65%,100%
Endocrine,PGR,-,21%,-,49%,67%,65%,72%,81%,74%,100%
Immune,B2M,-,-,-,18%,8%,44%,53%,68%,62%,100%
Immune,CD274,-,-,-,-,-,-,51%,69%,75%,100%
Immune,CTLA4,-,-,-,-,36%,46%,55%,75%,87%,100%
Immune,HLA-A,-,-,-,29%,-,32%,60%,-,-,100%
Immune,HLA-B,-,-,-,28%,-,32%,56%,-,-,100%
