gene,species,divergence_mya,has_ortholog,ortholog_type,target_gene,target_symbol,identity,source_identity
RAD51,saccharomyces_cerevisiae,1000,True,ortholog_one2one,YER095W,YER095W,56.75,66.9617
RAD51,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0003479,FBpp0084955,66.369,65.7817
RAD51,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00004297,Y43C5A.6a.1,50.3797,58.7021
RAD51,danio_rerio,450,True,ortholog_one2one,ENSDARG00000041411,ENSDARP00000060705,89.7059,89.9705
RAD51,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000015951,ENSXETP00000089326,91.8079,95.8702
RAD51,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010023147,ENSGALP00010034160,95.5752,95.5752
RAD51,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000000268,ENSMODP00000000325,96.4602,96.4602
RAD51,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000027323,ENSMUSP00000028795,98.8201,98.8201
RAD51,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845028730,ENSCAFP00845039817,99.115,99.115
RAD51,homo_sapiens,0,True,self,RAD51,,100.0,
RAD51B,saccharomyces_cerevisiae,1000,False,none,,,0,0
RAD51B,drosophila_melanogaster,600,False,none,,,0,0
RAD51B,caenorhabditis_elegans,600,False,none,,,0,0
RAD51B,danio_rerio,450,True,ortholog_one2one,ENSDARG00000037046,ENSDARP00000053846,52.5469,56
RAD51B,xenopus_tropicalis,350,False,none,,,0,0
RAD51B,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010020659,ENSGALP00010029474,61.5942,72.8571
RAD51B,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000010114,ENSMODP00000012669,70.1342,59.7143
RAD51B,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000059060,ENSMUSP00000152105,84.8571,84.8571
RAD51B,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845003641,ENSCAFP00845005187,90,90
RAD51B,homo_sapiens,0,True,self,RAD51B,,100.0,
RAD51C,saccharomyces_cerevisiae,1000,False,none,,,0,0
RAD51C,drosophila_melanogaster,600,True,ortholog_one2one,FBgn0003482,FBpp0084486,30,21.5426
RAD51C,caenorhabditis_elegans,600,False,none,,,0,0
RAD51C,danio_rerio,450,True,ortholog_one2one,ENSDARG00000068919,ENSDARP00000090614,59.116,56.9149
RAD51C,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000001122,ENSXETP00000002461,61.5176,60.3723
RAD51C,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010029783,ENSGALP00010044742,69.2722,68.3511
RAD51C,monodelphis_domestica,180,True,ortholog_one2one,ENSMODG00000014643,ENSMODP00000018294,56.1135,68.3511
RAD51C,mus_musculus,90,True,ortholog_one2one,ENSMUSG00000007646,ENSMUSP00000064079,86.0656,83.7766
RAD51C,canis_lupus_familiaris,85,True,ortholog_one2one,ENSCAFG00845023093,ENSCAFP00845031946,91.1051,89.8936
RAD51C,homo_sapiens,0,True,self,RAD51C,,100.0,
RAD51D,saccharomyces_cerevisiae,1000,False,none,,,0,0
RAD51D,drosophila_melanogaster,600,False,none,,,0,0
RAD51D,caenorhabditis_elegans,600,True,ortholog_one2one,WBGene00004342,C30A5.2.1,25.3061,18.9024
RAD51D,danio_rerio,450,True,ortholog_one2one,ENSDARG00000026400,ENSDARP00000107754,54.7401,54.5732
RAD51D,xenopus_tropicalis,350,True,ortholog_one2one,ENSXETG00000008969,ENSXETP00000019650,57.1875,55.7927
RAD51D,gallus_gallus,300,True,ortholog_one2one,ENSGALG00010029630,ENSGALP00010044333,53.7313,65.8537
