gene	class	pan_troglodytes	mus_musculus	rattus_norvegicus	heterocephalus_glaber_female	canis_lupus_familiaris	bos_taurus	sus_scrofa	oryctolagus_cuniculus	myotis_lucifugus	equus_caballus	danio_rerio	gallus_gallus	xenopus_tropicalis
RAD51	implementation	89.1176	98.8201	99.41	84.3575	99.115	99.41	98.8201	98.8201	100.0	99.115	89.7059	95.5752	91.8079
DMC1	implementation	100.0	97.0588	97.3529	96.061	99.1176	98.8235	99.1176	98.2353	99.1176	99.1176	88.5965	95.614	74.5783
RAD51B	routing	81.6471	84.8571	61.8337	77.0574	90.0	62.2472	85.4795	87.7143	91.3043	80.203	52.5469	61.5942	
RAD51C	routing	98.4085	86.0656	73.1034	88.587	91.1051	74.6637	88.6792	89.6825	87.5339	80.4296	59.116	69.2722	61.5176
RAD51D	routing	83.3333	82.9787		78.5908	70.1333	82.6219	85.8896	78.7097	86.2805	85.8491	54.7401	53.7313	57.1875
XRCC2	routing	99.2857	78.4173	79.8561	82.1429	83.1541	68.5619	85.3571		85.2518	60.7558	44.9045	68.8172	61.7544
XRCC3	routing	96.5517	72.7794	73.6232	64.7208	75.3582	49.3333	70.8683	77.0349		80.4598	51.7045	54.712	56.0345
BRCA1	factory	97.1338	57.6711	57.2286	57.4385	73.8552	72.2944	74.0921	69.8704	73.0022	75.7804		30.3188	25.6193
BRCA2	factory	99.2686	58.6362	57.7924	68.3828		69.9446	69.7372	69.4314	68.8981	73.9396	24.1475	32.2049	30.5744
PALB2	factory	98.9882	63.1341	62.8829	64.9023	71.2971	67.1967	67.3857	69.0355	67.3765	70.4698	23.3115	31.0216	23.5709
BARD1	factory	99.4852	70.9804	69.6615	76.7413	82.6645	83.4411	84.6847	79.2277	79.1495	84.3871	33.3333	49.1985	46.82
MDC1	reader	98.2297	58.8993	58.5761	58.9421	67.7824	64.9351	64.4051	63.5802	64.8955	69.8597	16.9801		23.5467
TP53BP1	reader	99.2413	81.158	82.0487	83.5405	89.3079	87.8942	88.7105	86.6903	95.2862	89.2587	34.7572	51.1053	41.5181
ATM	writer	99.4437	83.9204	83.0426	87.9175	89.5288	86.1971	88.42	88.9725	87.5346	89.6205	53.8014	69.1205	64.902
ATR	writer	99.8227	96.2633	91.0091	92.8112	96.2766	97.5177	93.4389	93.2274	96.6372	97.5221	72.5051	86.0104	78.0919
CHEK1	writer	79.7938	93.0672	81.3996	94.0329	96.4286	67.2083	97.0588		95.1883	96.8326	64.3902	80.2	77.8481
CHEK2	writer	92.4915	82.7839	83.3027	83.779	81.8644	87.9684	86.6184	90.1487	85.6354	86.4043	52.4851	68.9655	55.6314
ACTB	implementation-control	99.2064	100.0	99.2064	87.1495	77.1357	94.4584	100.0	70.8978	95.7219	91.8728		90.3797	99.7333
GAPDH	implementation-control	100.0	93.994	93.994	95.1952	95.1952	94.5946	95.4955	95.082	94.8949	93.3333	86.1862	91.8919	84.1317
RPL7	implementation-control	100.0		54.4118	82.9545	95.2128	96.9163	94.8617				78.8618	83.3333	72.6592
EEF1A1	implementation-control	100.0			100.0	100.0	100.0		90.1841		100.0	94.8052	99.3506	97.1861
